Serial No.,Date,Time,Device Name,battery_percentage,filled_level,litres
68,31/12/2024,01:34:36,Vinnaya  Block 2,98,53.65,44739.37
69,31/12/2024,01:14:36,Vinnaya  Block 2,99,53.65,44739.37
70,31/12/2024,00:54:36,Vinnaya  Block 2,99,53.65,44739.37
71,31/12/2024,00:34:36,Vinnaya  Block 2,99,53.78,44852.06
72,31/12/2024,00:14:37,Vinnaya  Block 2,99,53.78,44852.06
73,30/12/2024,23:54:37,Vinnaya  Block 2,99,53.78,44852.06
74,30/12/2024,23:34:37,Vinnaya  Block 2,99,53.92,44964.76
75,30/12/2024,23:14:37,Vinnaya  Block 2,99,53.92,44964.76
76,30/12/2024,22:54:37,Vinnaya  Block 2,99,53.92,44964.76
77,30/12/2024,22:34:37,Vinnaya  Block 2,99,54.05,45077.45
78,30/12/2024,22:14:37,Vinnaya  Block 2,98,54.05,45077.45
79,30/12/2024,21:54:37,Vinnaya  Block 2,99,54.05,45077.45
80,30/12/2024,21:34:37,Vinnaya  Block 2,99,54.05,45077.45
81,30/12/2024,21:14:37,Vinnaya  Block 2,99,51.76,43161.66
82,30/12/2024,20:54:37,Vinnaya  Block 2,99,51.62,43048.96
83,30/12/2024,20:34:37,Vinnaya  Block 2,99,51.76,43161.66
84,30/12/2024,20:14:37,Vinnaya  Block 2,100,51.76,43161.66
85,30/12/2024,19:54:37,Vinnaya  Block 2,99,51.89,43274.35
86,30/12/2024,19:34:37,Vinnaya  Block 2,100,51.89,43274.35
87,30/12/2024,19:14:37,Vinnaya  Block 2,99,52.03,43387.04
88,30/12/2024,18:54:37,Vinnaya  Block 2,99,52.03,43387.04
89,30/12/2024,18:34:37,Vinnaya  Block 2,99,52.03,43387.04
90,30/12/2024,18:14:37,Vinnaya  Block 2,99,52.16,43499.74
91,30/12/2024,17:54:37,Vinnaya  Block 2,100,52.16,43499.74
92,30/12/2024,17:34:36,Vinnaya  Block 2,100,52.3,43612.43
93,30/12/2024,17:14:36,Vinnaya  Block 2,100,52.43,43725.13
94,30/12/2024,16:54:37,Vinnaya  Block 2,100,52.43,43725.13
95,30/12/2024,16:34:33,Vinnaya  Block 2,100,52.43,43725.13
96,30/12/2024,16:14:33,Vinnaya  Block 2,100,52.57,43837.82
97,30/12/2024,15:54:34,Vinnaya  Block 2,100,52.57,43837.82
98,30/12/2024,15:34:34,Vinnaya  Block 2,100,52.7,43950.51
99,30/12/2024,15:14:35,Vinnaya  Block 2,100,52.7,43950.51
100,30/12/2024,14:54:35,Vinnaya  Block 2,100,52.7,43950.51
101,30/12/2024,14:34:36,Vinnaya  Block 2,100,52.7,43950.51
102,30/12/2024,14:14:36,Vinnaya  Block 2,100,49.59,41358.56
103,30/12/2024,13:54:37,Vinnaya  Block 2,100,48.38,40344.32
104,30/12/2024,13:34:36,Vinnaya  Block 2,99,48.51,40457.01
105,30/12/2024,13:14:37,Vinnaya  Block 2,99,48.51,40457.01
106,30/12/2024,12:54:38,Vinnaya  Block 2,100,48.51,40457.01
107,30/12/2024,12:34:38,Vinnaya  Block 2,100,48.65,40569.7
108,30/12/2024,12:14:37,Vinnaya  Block 2,100,48.65,40569.7
109,30/12/2024,11:54:37,Vinnaya  Block 2,100,48.11,40118.93
110,30/12/2024,11:34:37,Vinnaya  Block 2,96,48.24,40231.62
111,30/12/2024,11:14:37,Vinnaya  Block 2,100,48.24,40231.62
112,30/12/2024,10:54:35,Vinnaya  Block 2,95,48.38,40344.32
113,30/12/2024,10:34:36,Vinnaya  Block 2,100,48.51,40457.01
114,30/12/2024,10:14:36,Vinnaya  Block 2,95,48.51,40457.01
115,30/12/2024,09:54:37,Vinnaya  Block 2,100,48.65,40569.7
116,30/12/2024,09:34:37,Vinnaya  Block 2,98,48.78,40682.4
117,30/12/2024,09:14:38,Vinnaya  Block 2,100,48.92,40795.09
118,30/12/2024,08:54:38,Vinnaya  Block 2,96,49.05,40907.78
119,30/12/2024,08:34:38,Vinnaya  Block 2,98,49.05,40907.78
120,30/12/2024,08:14:38,Vinnaya  Block 2,99,49.05,40907.78
121,30/12/2024,07:54:38,Vinnaya  Block 2,97,48.78,40682.4
122,30/12/2024,07:34:38,Vinnaya  Block 2,97,43.78,36512.73
123,30/12/2024,07:14:38,Vinnaya  Block 2,100,39.73,33131.92
124,30/12/2024,06:54:38,Vinnaya  Block 2,98,39.86,33244.62
125,30/12/2024,06:34:39,Vinnaya  Block 2,95,39.86,33244.62
126,30/12/2024,06:14:39,Vinnaya  Block 2,98,40.27,33582.7
127,30/12/2024,05:54:39,Vinnaya  Block 2,100,40.54,33808.09
128,30/12/2024,05:34:38,Vinnaya  Block 2,98,40.54,33808.09
129,30/12/2024,05:14:38,Vinnaya  Block 2,99,40.54,33808.09
130,30/12/2024,04:54:38,Vinnaya  Block 2,98,40.68,33920.78
131,30/12/2024,04:34:38,Vinnaya  Block 2,98,40.68,33920.78
132,30/12/2024,04:14:38,Vinnaya  Block 2,97,40.81,34033.47
133,30/12/2024,03:54:38,Vinnaya  Block 2,98,40.81,34033.47
134,30/12/2024,03:34:38,Vinnaya  Block 2,99,40.81,34033.47
135,30/12/2024,03:14:38,Vinnaya  Block 2,100,40.95,34146.17
136,30/12/2024,02:54:38,Vinnaya  Block 2,99,40.95,34146.17
137,30/12/2024,02:34:38,Vinnaya  Block 2,98,41.08,34258.86
138,30/12/2024,02:14:38,Vinnaya  Block 2,99,41.08,34258.86
139,30/12/2024,01:54:38,Vinnaya  Block 2,97,41.22,34371.55
140,30/12/2024,01:34:39,Vinnaya  Block 2,99,41.08,34258.86
141,30/12/2024,01:14:38,Vinnaya  Block 2,98,41.22,34371.55
142,30/12/2024,00:54:38,Vinnaya  Block 2,99,41.22,34371.55
143,30/12/2024,00:34:38,Vinnaya  Block 2,98,41.35,34484.25
144,30/12/2024,00:14:38,Vinnaya  Block 2,98,41.35,34484.25
145,29/12/2024,23:54:38,Vinnaya  Block 2,99,41.49,34596.94
146,29/12/2024,23:34:39,Vinnaya  Block 2,98,41.49,34596.94
147,29/12/2024,23:14:38,Vinnaya  Block 2,99,41.49,34596.94
148,29/12/2024,22:54:38,Vinnaya  Block 2,99,41.62,34709.64
149,29/12/2024,22:34:38,Vinnaya  Block 2,99,41.62,34709.64
150,29/12/2024,22:14:39,Vinnaya  Block 2,100,41.76,34822.33
151,29/12/2024,21:54:39,Vinnaya  Block 2,99,41.89,34935.02
152,29/12/2024,21:34:39,Vinnaya  Block 2,99,41.89,34935.02
153,29/12/2024,21:14:39,Vinnaya  Block 2,98,41.89,34935.02
154,29/12/2024,20:54:39,Vinnaya  Block 2,99,42.03,35047.72
155,29/12/2024,20:34:39,Vinnaya  Block 2,99,42.03,35047.72
156,29/12/2024,20:14:39,Vinnaya  Block 2,99,42.03,35047.72
157,29/12/2024,19:54:39,Vinnaya  Block 2,100,42.16,35160.41
158,29/12/2024,19:34:39,Vinnaya  Block 2,99,42.3,35273.1
159,29/12/2024,19:14:39,Vinnaya  Block 2,99,42.3,35273.1
160,29/12/2024,18:54:39,Vinnaya  Block 2,100,42.43,35385.8
161,29/12/2024,18:34:39,Vinnaya  Block 2,100,42.57,35498.49
162,29/12/2024,18:14:39,Vinnaya  Block 2,99,42.57,35498.49
163,29/12/2024,17:54:39,Vinnaya  Block 2,99,42.7,35611.18
164,29/12/2024,17:34:39,Vinnaya  Block 2,100,42.7,35611.18
165,29/12/2024,17:14:39,Vinnaya  Block 2,99,42.7,35611.18
166,29/12/2024,16:54:39,Vinnaya  Block 2,99,42.84,35723.88
167,29/12/2024,16:34:39,Vinnaya  Block 2,99,42.84,35723.88
168,29/12/2024,16:14:39,Vinnaya  Block 2,99,40.95,34146.17
169,29/12/2024,15:54:39,Vinnaya  Block 2,100,36.08,30089.2
170,29/12/2024,15:34:39,Vinnaya  Block 2,100,31.76,26483
171,29/12/2024,15:14:39,Vinnaya  Block 2,100,27.16,22651.42
172,29/12/2024,14:54:39,Vinnaya  Block 2,100,26.08,21749.87
173,29/12/2024,14:34:39,Vinnaya  Block 2,100,26.22,21862.56
174,29/12/2024,14:14:39,Vinnaya  Block 2,100,26.22,21862.56
175,29/12/2024,13:54:39,Vinnaya  Block 2,100,26.35,21975.26
176,29/12/2024,13:34:39,Vinnaya  Block 2,100,26.35,21975.26
177,29/12/2024,13:14:39,Vinnaya  Block 2,100,26.62,22200.64
178,29/12/2024,12:54:39,Vinnaya  Block 2,98,26.62,22200.64
179,29/12/2024,12:34:39,Vinnaya  Block 2,100,26.76,22313.34
180,29/12/2024,12:14:39,Vinnaya  Block 2,100,26.76,22313.34
181,29/12/2024,11:54:39,Vinnaya  Block 2,100,26.76,22313.34
182,29/12/2024,11:34:39,Vinnaya  Block 2,99,26.76,22313.34
183,29/12/2024,11:14:39,Vinnaya  Block 2,100,26.89,22426.03
184,29/12/2024,10:54:39,Vinnaya  Block 2,98,27.03,22538.72
185,29/12/2024,10:34:39,Vinnaya  Block 2,100,27.16,22651.42
186,29/12/2024,10:14:39,Vinnaya  Block 2,99,27.16,22651.42
187,29/12/2024,09:54:39,Vinnaya  Block 2,100,27.3,22764.11
188,29/12/2024,09:34:39,Vinnaya  Block 2,96,27.3,22764.11
189,29/12/2024,09:14:39,Vinnaya  Block 2,100,27.3,22764.11
190,29/12/2024,08:54:39,Vinnaya  Block 2,100,27.43,22876.81
191,29/12/2024,08:34:39,Vinnaya  Block 2,100,27.43,22876.81
192,29/12/2024,08:14:39,Vinnaya  Block 2,100,27.57,22989.5
193,29/12/2024,07:54:39,Vinnaya  Block 2,99,27.43,22876.81
194,29/12/2024,07:34:39,Vinnaya  Block 2,98,27.57,22989.5
195,29/12/2024,07:14:40,Vinnaya  Block 2,98,27.7,23102.19
196,29/12/2024,06:54:40,Vinnaya  Block 2,99,27.97,23327.58
197,29/12/2024,06:34:40,Vinnaya  Block 2,99,27.84,23214.89
198,29/12/2024,06:14:40,Vinnaya  Block 2,98,27.97,23327.58
199,29/12/2024,05:54:40,Vinnaya  Block 2,97,27.97,23327.58
200,29/12/2024,05:34:40,Vinnaya  Block 2,97,28.11,23440.27
201,29/12/2024,05:14:40,Vinnaya  Block 2,99,28.11,23440.27
202,29/12/2024,04:54:40,Vinnaya  Block 2,97,28.24,23552.97
203,29/12/2024,04:34:40,Vinnaya  Block 2,99,28.24,23552.97
204,29/12/2024,04:14:40,Vinnaya  Block 2,98,28.24,23552.97
205,29/12/2024,03:54:40,Vinnaya  Block 2,98,28.38,23665.66
206,29/12/2024,03:34:40,Vinnaya  Block 2,97,28.38,23665.66
207,29/12/2024,03:14:40,Vinnaya  Block 2,97,28.51,23778.35
208,29/12/2024,02:54:40,Vinnaya  Block 2,99,28.51,23778.35
209,29/12/2024,02:34:40,Vinnaya  Block 2,99,28.65,23891.05
210,29/12/2024,02:14:40,Vinnaya  Block 2,98,28.78,24003.74
211,29/12/2024,01:54:40,Vinnaya  Block 2,98,28.78,24003.74
212,29/12/2024,01:34:40,Vinnaya  Block 2,98,28.78,24003.74
213,29/12/2024,01:14:40,Vinnaya  Block 2,98,28.92,24116.44
214,29/12/2024,00:54:40,Vinnaya  Block 2,98,28.92,24116.44
215,29/12/2024,00:34:40,Vinnaya  Block 2,99,29.05,24229.13
216,29/12/2024,00:14:40,Vinnaya  Block 2,98,29.05,24229.13
217,28/12/2024,23:54:39,Vinnaya  Block 2,98,29.19,24341.82
218,28/12/2024,23:34:39,Vinnaya  Block 2,99,29.19,24341.82
219,28/12/2024,23:14:39,Vinnaya  Block 2,98,29.32,24454.52
220,28/12/2024,22:54:39,Vinnaya  Block 2,99,29.32,24454.52
221,28/12/2024,22:34:39,Vinnaya  Block 2,98,29.32,24454.52
222,28/12/2024,22:14:39,Vinnaya  Block 2,99,29.46,24567.21
223,28/12/2024,21:54:39,Vinnaya  Block 2,100,29.59,24679.9
224,28/12/2024,21:34:39,Vinnaya  Block 2,98,29.59,24679.9
225,28/12/2024,21:14:40,Vinnaya  Block 2,99,29.73,24792.6
226,28/12/2024,20:54:40,Vinnaya  Block 2,100,29.73,24792.6
227,28/12/2024,20:34:40,Vinnaya  Block 2,100,29.86,24905.29
228,28/12/2024,20:14:40,Vinnaya  Block 2,99,30,25017.98
229,28/12/2024,19:54:40,Vinnaya  Block 2,98,30.68,25581.45
230,28/12/2024,19:34:40,Vinnaya  Block 2,99,30.81,25694.15
231,28/12/2024,19:14:40,Vinnaya  Block 2,100,30.95,25806.84
232,28/12/2024,18:54:40,Vinnaya  Block 2,99,31.08,25919.53
233,28/12/2024,18:34:40,Vinnaya  Block 2,100,31.08,25919.53
234,28/12/2024,18:14:40,Vinnaya  Block 2,99,31.22,26032.23
235,28/12/2024,17:54:40,Vinnaya  Block 2,100,31.49,26257.61
236,28/12/2024,17:34:40,Vinnaya  Block 2,100,18.11,15100.95
237,28/12/2024,17:14:40,Vinnaya  Block 2,100,0,0
238,28/12/2024,16:54:40,Vinnaya  Block 2,100,0,0
239,28/12/2024,16:34:40,Vinnaya  Block 2,100,0,0
240,28/12/2024,16:14:40,Vinnaya  Block 2,100,0,0
241,28/12/2024,15:54:40,Vinnaya  Block 2,100,0,0
242,28/12/2024,15:34:41,Vinnaya  Block 2,100,0,0
243,28/12/2024,15:14:41,Vinnaya  Block 2,100,0,0
244,28/12/2024,14:54:39,Vinnaya  Block 2,100,0,0
245,28/12/2024,14:34:39,Vinnaya  Block 2,100,0,0
246,28/12/2024,14:14:39,Vinnaya  Block 2,100,0,0
247,28/12/2024,13:54:39,Vinnaya  Block 2,100,0,0
248,28/12/2024,13:34:39,Vinnaya  Block 2,99,0,0
249,28/12/2024,13:14:40,Vinnaya  Block 2,100,1.49,1239.63
250,28/12/2024,12:54:40,Vinnaya  Block 2,100,8.51,7099.7
251,28/12/2024,12:34:40,Vinnaya  Block 2,100,0,0
252,28/12/2024,12:14:40,Vinnaya  Block 2,100,0,0
253,28/12/2024,11:54:40,Vinnaya  Block 2,100,0,0
254,28/12/2024,11:34:40,Vinnaya  Block 2,100,0,0
255,28/12/2024,11:14:40,Vinnaya  Block 2,96,0,0
256,28/12/2024,10:54:41,Vinnaya  Block 2,100,0,0
257,28/12/2024,10:34:41,Vinnaya  Block 2,100,12.3,10255.12
258,28/12/2024,10:14:41,Vinnaya  Block 2,100,40,33357.31
259,28/12/2024,09:54:41,Vinnaya  Block 2,100,61.76,51500.99
260,28/12/2024,09:34:39,Vinnaya  Block 2,100,72.97,60854.56
261,28/12/2024,09:14:39,Vinnaya  Block 2,100,73.24,61079.94
262,28/12/2024,08:54:40,Vinnaya  Block 2,100,73.24,61079.94
263,28/12/2024,08:34:40,Vinnaya  Block 2,99,73.38,61192.64
264,28/12/2024,08:14:40,Vinnaya  Block 2,100,73.38,61192.64
265,28/12/2024,07:54:40,Vinnaya  Block 2,98,73.38,61192.64
266,28/12/2024,07:34:40,Vinnaya  Block 2,99,73.51,61305.33
267,28/12/2024,07:14:41,Vinnaya  Block 2,99,73.51,61305.33
268,28/12/2024,06:54:41,Vinnaya  Block 2,97,71.49,59614.93
269,28/12/2024,06:34:41,Vinnaya  Block 2,97,71.62,59727.62
270,28/12/2024,06:14:41,Vinnaya  Block 2,95,71.62,59727.62
271,28/12/2024,05:54:41,Vinnaya  Block 2,97,71.76,59840.31
272,28/12/2024,05:34:42,Vinnaya  Block 2,98,71.89,59953.01
273,28/12/2024,05:14:42,Vinnaya  Block 2,99,71.89,59953.01
274,28/12/2024,04:54:42,Vinnaya  Block 2,97,72.03,60065.7
275,28/12/2024,04:34:42,Vinnaya  Block 2,97,72.03,60065.7
276,28/12/2024,04:14:41,Vinnaya  Block 2,99,72.03,60065.7
277,28/12/2024,03:54:41,Vinnaya  Block 2,99,72.16,60178.39
278,28/12/2024,03:34:42,Vinnaya  Block 2,97,72.16,60178.39
279,28/12/2024,03:14:42,Vinnaya  Block 2,97,72.16,60178.39
280,28/12/2024,02:54:43,Vinnaya  Block 2,99,72.3,60291.09
281,28/12/2024,00:54:42,Vinnaya  Block 2,98,72.7,60629.17
282,28/12/2024,00:34:42,Vinnaya  Block 2,99,72.84,60741.86
283,28/12/2024,00:14:42,Vinnaya  Block 2,99,72.84,60741.86
284,27/12/2024,23:54:42,Vinnaya  Block 2,98,72.84,60741.86
285,27/12/2024,23:34:42,Vinnaya  Block 2,99,72.97,60854.56
286,27/12/2024,23:14:51,Vinnaya  Block 2,99,69.86,58262.6
287,27/12/2024,22:54:42,Vinnaya  Block 2,99,67.57,56346.81
288,27/12/2024,22:34:42,Vinnaya  Block 2,99,67.57,56346.81
289,27/12/2024,22:15:42,Vinnaya  Block 2,99,67.57,56346.81
290,27/12/2024,21:54:42,Vinnaya  Block 2,99,67.7,56459.5
291,27/12/2024,21:34:42,Vinnaya  Block 2,100,67.84,56572.2
292,27/12/2024,21:14:42,Vinnaya  Block 2,100,67.84,56572.2
293,27/12/2024,20:54:42,Vinnaya  Block 2,99,67.84,56572.2
294,27/12/2024,20:34:42,Vinnaya  Block 2,99,67.97,56684.89
295,27/12/2024,20:14:42,Vinnaya  Block 2,99,67.97,56684.89
296,27/12/2024,19:54:42,Vinnaya  Block 2,99,68.11,56797.59
297,27/12/2024,19:34:42,Vinnaya  Block 2,99,68.11,56797.59
298,27/12/2024,19:14:42,Vinnaya  Block 2,100,68.24,56910.28
299,27/12/2024,18:54:42,Vinnaya  Block 2,99,68.24,56910.28
300,27/12/2024,18:34:42,Vinnaya  Block 2,100,68.38,57022.97
301,27/12/2024,18:14:42,Vinnaya  Block 2,100,68.51,57135.67
302,27/12/2024,17:54:42,Vinnaya  Block 2,100,68.65,57248.36
303,27/12/2024,17:34:42,Vinnaya  Block 2,100,68.78,57361.05
304,27/12/2024,17:14:42,Vinnaya  Block 2,100,68.78,57361.05
305,27/12/2024,16:55:15,Vinnaya  Block 2,100,68.92,57473.75
306,27/12/2024,16:34:42,Vinnaya  Block 2,100,68.92,57473.75
307,27/12/2024,16:14:42,Vinnaya  Block 2,100,69.05,57586.44
308,27/12/2024,15:54:42,Vinnaya  Block 2,100,71.35,59502.23
309,27/12/2024,15:34:42,Vinnaya  Block 2,100,72.97,60854.56
310,27/12/2024,15:14:42,Vinnaya  Block 2,100,74.73,62319.57
311,27/12/2024,14:54:42,Vinnaya  Block 2,100,78.24,65249.61
312,27/12/2024,14:34:42,Vinnaya  Block 2,100,81.35,67841.56
313,27/12/2024,14:14:42,Vinnaya  Block 2,100,84.46,70433.51
314,27/12/2024,13:54:42,Vinnaya  Block 2,100,87.84,73250.85
315,27/12/2024,13:34:42,Vinnaya  Block 2,100,92.03,76744.36
316,27/12/2024,13:14:42,Vinnaya  Block 2,100,95.81,79899.78
317,27/12/2024,12:54:42,Vinnaya  Block 2,100,99.59,83055.2
318,27/12/2024,12:34:42,Vinnaya  Block 2,100,100,83393.28
319,27/12/2024,12:14:43,Vinnaya  Block 2,100,100,83393.28
320,27/12/2024,11:54:43,Vinnaya  Block 2,100,100,83393.28
321,27/12/2024,11:34:43,Vinnaya  Block 2,100,94.86,79110.92
322,27/12/2024,11:14:43,Vinnaya  Block 2,100,100,83393.28
323,27/12/2024,10:54:43,Vinnaya  Block 2,100,100,83393.28
324,27/12/2024,10:34:43,Vinnaya  Block 2,100,100,83393.28
325,27/12/2024,10:14:43,Vinnaya  Block 2,100,100,83393.28
326,27/12/2024,09:54:43,Vinnaya  Block 2,100,100,83393.28
327,27/12/2024,09:34:43,Vinnaya  Block 2,100,100,83393.28
328,27/12/2024,09:14:43,Vinnaya  Block 2,100,100,83393.28
329,27/12/2024,08:54:43,Vinnaya  Block 2,100,100,83393.28
330,27/12/2024,08:34:43,Vinnaya  Block 2,100,100,83393.28
331,27/12/2024,08:14:43,Vinnaya  Block 2,100,100,83393.28
332,27/12/2024,07:54:43,Vinnaya  Block 2,100,100,83393.28
333,27/12/2024,07:34:43,Vinnaya  Block 2,100,100,83393.28
334,27/12/2024,07:14:43,Vinnaya  Block 2,99,100,83393.28
335,27/12/2024,06:54:43,Vinnaya  Block 2,99,100,83393.28
336,27/12/2024,06:34:43,Vinnaya  Block 2,100,100,83393.28
337,27/12/2024,06:14:43,Vinnaya  Block 2,99,100,83393.28
338,27/12/2024,05:54:43,Vinnaya  Block 2,100,100,83393.28
339,27/12/2024,05:34:43,Vinnaya  Block 2,100,100,83393.28
340,27/12/2024,05:14:43,Vinnaya  Block 2,99,100,83393.28
341,27/12/2024,04:54:43,Vinnaya  Block 2,99,100,83393.28
342,27/12/2024,04:34:43,Vinnaya  Block 2,99,100,83393.28
343,27/12/2024,04:14:43,Vinnaya  Block 2,100,100,83393.28
344,27/12/2024,03:54:43,Vinnaya  Block 2,99,100,83393.28
345,27/12/2024,03:34:43,Vinnaya  Block 2,100,100,83393.28
346,27/12/2024,03:14:43,Vinnaya  Block 2,99,100,83393.28
347,27/12/2024,02:54:43,Vinnaya  Block 2,99,100,83393.28
348,27/12/2024,02:35:45,Vinnaya  Block 2,100,100,83393.28
349,27/12/2024,02:14:43,Vinnaya  Block 2,100,100,83393.28
350,27/12/2024,01:54:43,Vinnaya  Block 2,100,100,83393.28
351,27/12/2024,01:34:43,Vinnaya  Block 2,100,100,83393.28
352,27/12/2024,01:14:43,Vinnaya  Block 2,100,100,83393.28
353,27/12/2024,00:54:43,Vinnaya  Block 2,100,100,83393.28
354,27/12/2024,00:34:43,Vinnaya  Block 2,100,100,83393.28
355,27/12/2024,00:14:43,Vinnaya  Block 2,100,100,83393.28
356,26/12/2024,23:54:43,Vinnaya  Block 2,99,100,83393.28
357,26/12/2024,23:34:43,Vinnaya  Block 2,99,100,83393.28
358,26/12/2024,23:14:43,Vinnaya  Block 2,100,100,83393.28
359,26/12/2024,22:54:43,Vinnaya  Block 2,100,100,83393.28
360,26/12/2024,22:34:43,Vinnaya  Block 2,100,100,83393.28
361,26/12/2024,22:14:43,Vinnaya  Block 2,100,100,83393.28
362,26/12/2024,21:54:44,Vinnaya  Block 2,100,100,83393.28
363,26/12/2024,21:34:42,Vinnaya  Block 2,100,100,83393.28
364,26/12/2024,21:14:42,Vinnaya  Block 2,100,100,83393.28
365,26/12/2024,20:54:42,Vinnaya  Block 2,100,100,83393.28
366,26/12/2024,20:34:42,Vinnaya  Block 2,100,100,83393.28
367,26/12/2024,20:14:43,Vinnaya  Block 2,100,100,83393.28
368,26/12/2024,19:54:43,Vinnaya  Block 2,100,100,83393.28
369,26/12/2024,19:34:43,Vinnaya  Block 2,100,100,83393.28
370,26/12/2024,19:14:43,Vinnaya  Block 2,100,100,83393.28
371,26/12/2024,18:54:44,Vinnaya  Block 2,100,100,83393.28
372,26/12/2024,18:34:44,Vinnaya  Block 2,100,100,83393.28
